Marca,Nombre,Tipo,Indice,Precio,Costo,Stock,Unidad,Laboratorio,Esf_Min,Esf_Max,Cil_Min,Cil_Max,Adic_Min,Adic_Max
Kodak,PRECISE AIRWEAR 1.59 2x1,Cristal Multifocal,1.59,1041591.52,223025.25,0,PAR,OPTOVISION,,,,,,
Kodak,PRECISE AIRWEAR 1.59 BLUE UV 2x1,Cristal Multifocal,1.59,1072337.62,232265.25,0,PAR,OPTOVISION,,,,,,
Kodak,PRECISE STYLIS 1.67 2x1,Cristal Multifocal,1.67,1227535.55,278906.25,0,PAR,OPTOVISION,,,,,,
Kodak,PRECISE STYLIS 1.67 BLUE UV 2x1,Cristal Multifocal,1.67,1263539.93,289726.5,0,PAR,OPTOVISION,,,,,,
Kodak,"PRECISE ORMA ACCLIMATES (Foto Gris) 2x1",Cristal Multifocal,1.5,1306322.43,302583.75,0,PAR,OPTOVISION,,,,,,
Kodak,PRECISE ORMA TRANSITIONS GEN S 2x1,Cristal Multifocal,1.5,1618989.3,396548.25,0,PAR,OPTOVISION,,,,,,
Kodak,PRECISE AIRWEAR 1.59 TRANSITIONS GEN S 2x1,Cristal Multifocal,1.59,1732068.57,430531.5,0,PAR,OPTOVISION,,,,,,
Kodak,PRECISE STYLIS 1.67 TRANSITIONS GEN S 2x1,Cristal Multifocal,1.67,1800600.92,451127.25,0,PAR,OPTOVISION,,,,,,
Kodak,PRECISE ORMA XPERIO 2x1,Cristal Multifocal,1.5,1618989.3,396548.25,0,PAR,OPTOVISION,,,,,,
Kodak,PRECISE AIRWEAR 1.59 XPERIO 2x1,Cristal Multifocal,1.59,1732068.57,430531.5,0,PAR,OPTOVISION,,,,,,
Varilux,COMFORT MAX - ORMA + CRIZAL 2x1,Cristal Multifocal,1.5,1455403.13,391125,0,PAR,OPTOVISION,,,,,,
Varilux,COMFORT MAX - AIRWEAR 1.59 + CRIZAL 2x1,Cristal Multifocal,1.59,1574607.79,430531.5,0,PAR,OPTOVISION,,,,,,
Varilux,COMFORT MAX - STYLIS 1.67 + CRIZAL 2x1,Cristal Multifocal,1.67,1642452.49,452959.5,0,PAR,OPTOVISION,,,,,,
Varilux,COMFORT MAX - ORMA TRANSITIONS GEN S + CRIZAL 2x1,Cristal Multifocal,1.59,2014788.39,576045.75,0,PAR,OPTOVISION,,,,,,
Varilux,COMFORT MAX - ORMA TRANSITIONS XTRACTIVE + CRIZAL 2x1,Cristal Multifocal,1.59,2014788.39,576045.75,0,PAR,OPTOVISION,,,,,,
Varilux,COMFORT MAX - AIRWEAR 1.59 TRANSITIONS GEN S + CRIZAL 2x1,Cristal Multifocal,1.59,2134199.51,615520.5,0,PAR,OPTOVISION,,,,,,
Varilux,COMFORT MAX - STYLIS 1.67 TRANSITIONS GEN S + CRIZAL 2x1,Cristal Multifocal,1.67,2203854.68,638547,0,PAR,OPTOVISION,,,,,,
Varilux,"COMFORT MAX - ORMA XPERIO + CRIZAL (Sol) 2x1",Cristal Multifocal,1.59,2014788.39,576045.75,0,PAR,OPTOVISION,,,,,,
Varilux,COMFORT MAX - AIRWEAR 1.59 XPERIO + CRIZAL 2x1,Cristal Multifocal,1.59,2134199.51,615520.5,0,PAR,OPTOVISION,,,,,,
Varilux,PHYSIO 3.0 - ORMA + CRIZAL 2x1,Cristal Multifocal,1.5,1723176.88,479645.25,0,PAR,OPTOVISION,,,,,,
Varilux,PHYSIO 3.0 - AIRWEAR 1.59 + CRIZAL 2x1,Cristal Multifocal,1.59,1836838.99,517219.5,0,PAR,OPTOVISION,,,,,,
Varilux,PHYSIO 3.0 - STYLIS 1.67 + CRIZAL 2x1,Cristal Multifocal,1.67,1902936.75,539070,0,PAR,OPTOVISION,,,,,,
Varilux,PHYSIO 3.0 - ORMA TRANSITIONS GEN S + CRIZAL 2x1,Cristal Multifocal,1.5,2280942.26,664030.5,0,PAR,OPTOVISION,,,,,,
Varilux,PHYSIO 3.0 - ORMA TRANSITIONS XTRACTIVE + CRIZAL 2x1,Cristal Multifocal,1.5,2280942.26,664030.5,0,PAR,OPTOVISION,,,,,,
Varilux,PHYSIO 3.0 - AIRWEAR 1.59 TRANSITIONS GEN S + CRIZAL 2x1,Cristal Multifocal,1.59,2394397.91,701536.5,0,PAR,OPTOVISION,,,,,,
Varilux,PHYSIO 3.0 - STYLIS 1.67 TRANSITIONS GEN S + CRIZAL 2x1,Cristal Multifocal,1.67,2471580.79,727051.5,0,PAR,OPTOVISION,,,,,,
Varilux,PHYSIO 3.0 - ORMA XPERIO + CRIZAL 2x1,Cristal Multifocal,1.5,2280942.26,664030.5,0,PAR,OPTOVISION,,,,,,
Varilux,PHYSIO 3.0 - AIRWEAR 1.59 XPERIO + CRIZAL 2x1,Cristal Multifocal,1.59,2394397.91,701536.5,0,PAR,OPTOVISION,,,,,,
Varilux,XR DESIGN - ORMA + CRIZAL 2x1,Cristal Multifocal,1.5,1830899.4,515256,0,PAR,OPTOVISION,,,,,,
Varilux,XR DESIGN - AIRWEAR 1.59 + CRIZAL 2x1,Cristal Multifocal,1.59,1948198.31,554032.5,0,PAR,OPTOVISION,,,,,,
Varilux,XR DESIGN - STYLIS 1.67 + CRIZAL 2x1,Cristal Multifocal,1.67,2023777.18,579017.25,0,PAR,OPTOVISION,,,,,,
Varilux,XR DESIGN - ORMA TRANSITIONS GEN S + CRIZAL 2x1,Cristal Multifocal,1.5,2412677.23,707579.25,0,PAR,OPTOVISION,,,,,,
Varilux,XR DESIGN - AIRWEAR 1.59 TRANSITIONS GEN S + CRIZAL 2x1,Cristal Multifocal,1.5,2537853.24,748959.75,0,PAR,OPTOVISION,,,,,,
Varilux,XR DESIGN - STYLIS 1.67 TRANSITIONS GEN S + CRIZAL 2x1,Cristal Multifocal,1.67,2598090.83,768873,0,PAR,OPTOVISION,,,,,,
Varilux,XR DESIGN - ORMA XPERIO + CRIZAL 2x1,Cristal Multifocal,1.5,2412677.23,707579.25,0,PAR,OPTOVISION,,,,,,
Varilux,XR DESIGN - AIRWEAR 1.59 XPERIO + CRIZAL 2x1,Cristal Multifocal,1.59,2537853.24,748959.75,0,PAR,OPTOVISION,,,,,,
